"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %"
"1.","Ashiana Ispat","27.00","","21.50","0.00","37.82","198.55","612.60","6125900.00","-9.02"
"2.","Cinevista","15.25","","87.59","0.00","3.52","256.44","8.25","27400.00","-19.91"
"3.","Ausom Enter.","102.40","4.70","139.48","0.98","2.06","1187.50","54.34","27070.00","16.32"
"4.","Madhusudan Sec.","18.47","12.97","39.55","0.00","3.67","2138.89","5.14","25600.00","-0.69"
"5.","Ravinder Heights","34.56","4.16","211.95","0.00","12.48","1185.22","20.01","14192.86","-1.44"
"6.","Jindal Poly Inve","1094.95","1.33","1150.82","0.00","702.05","2000.06","961.80","12230.77","12.83"
"7.","Filtron Engineer","97.40","727.82","618.65","0.00","1.09","1916.67","10.95","10850.00",""
"8.","Shricon Indus.","143.70","9.96","17.82","0.00","1.18","11900.00","2.21","7266.67","-1.64"
"9.","SSPDL Ltd","12.27","2.18","15.86","0.00","8.93","658.12","13.96","7247.37","0.40"
"10.","SMT Engineering","423.45","58.19","765.17","0.00","2.32","5700.00","26.88","7164.86","4.46"
"11.","Hi-Klass Trading","53.55","1471.00","161.81","0.00","1.23","1637.50","3.42","6740.00","-6.25"
"12.","STEL Holdings","433.75","27.09","800.52","0.00","12.58","13877.78","17.20","5633.33","1.30"
"13.","Sera Investments","33.75","9.54","221.05","0.00","20.03","479.36","25.22","4944.00","2.29"
"14.","Soma Textiles","91.70","409.33","302.91","0.00","1.94","183.45","28.01","4647.46","-1.74"
"15.","Bluegod Enterta.","2.97","33.76","194.81","0.00","5.08","2108.70","12.00","4515.38",""
"S.No.","Name","CMP Rs.","P/E","Mar Cap Rs.Cr.","Div Yld %","NP Qtr Rs.Cr.","Qtr Profit Var %","Sales Qtr Rs.Cr.","Qtr Sales Var %","ROCE %"
"16.","True Green","149.66","376.52","493.24","0.00","2.19","4280.00","84.20","4476.09","-0.63"
"17.","Quest Capital","246.00","6.15","246.00","1.03","20.70","6800.00","27.03","3934.33","2.20"
"18.","Maha Rashtra Apx","52.98","12.91","149.30","0.00","4.91","166.48","1.97","3840.00","72.01"
"19.","Goldstar Power","6.70","13.89","191.75","0.00","10.41","1037.84","269.61","3655.01",""
"20.","VJTF Eduservices","84.80","7462.58","149.25","0.00","1.35","160.56","0.93","3200.00","6.62"
"21.","Ironwood Educa","38.69","21.55","64.92","0.00","5.24","1191.67","29.60","3048.94","-0.88"
"22.","Elpro Internatio","85.60","7.79","1450.73","0.83","93.80","546.03","189.45","2825.90","5.24"
"23.","Vivanta Indust.","1.74","","22.42","0.00","1.24","3000.00","67.14","2072.82","-3.43"
"24.","PNGS Reva Diamo.","340.00","13.42","1077.75","0.00","23.11","1162.84","144.18","2064.86","115.07"
"25.","Summit Securitie","1400.90","12.38","1527.20","0.00","17.02","450.21","21.64","2064.00","1.21"